Simulation,Iteration,Estimated Distance,GDOP,Deviation,Actual Distance,Average Satellites Used
sim2,1,278.8511955396131,0.4055013441126757,223.2911955396131,277.8,8.0
sim2,2,274.24930324596926,0.383353311386492,218.68930324596928,277.8,8.0
sim2,3,275.5582571235164,0.3877334717706095,219.9982571235164,277.8,8.0
sim2,4,275.22799286627657,0.3839204940163527,219.66799286627656,277.8,8.0
sim2,5,274.02470262931826,0.389975081445027,218.46470262931825,277.8,8.0
sim2,6,335.98605173368753,0.390826177186012,280.4260517336876,277.8,8.0
sim2,7,273.57494936401,0.3820154351270135,218.01494936401,277.8,8.0
sim2,8,282.5807953412224,0.406375363579219,227.0207953412224,277.8,8.0
sim2,9,274.1005698301415,0.3790082368883203,218.54056983014152,277.8,8.0
sim2,10,274.0589193697133,0.3808860058394737,218.4989193697133,277.8,8.0
sim2,11,275.17557930189423,0.3916149003459357,219.61557930189423,277.8,8.0
sim2,12,377.43093452985727,0.3986039628201575,321.87093452985727,277.8,8.0
sim2,13,290.3987107045553,0.4077091709834062,234.8387107045553,277.8,8.0
sim2,14,289.8326568325279,0.4088300923508627,234.2726568325279,277.8,8.0
sim2,15,274.0550264623954,0.3877299166704172,218.4950264623954,277.8,8.0
sim2,16,275.10336175301177,0.3861409617811622,219.54336175301177,277.8,8.0
sim2,18,274.01446912007947,0.3758984502005646,218.45446912007947,277.8,8.0
sim2,22,274.7523399131233,0.3804599879588481,219.1923399131233,277.8,8.0
sim2,23,273.696027886508,0.3847628931880534,218.136027886508,277.8,8.0
sim2,24,273.8192385351832,0.3739992275423903,218.2592385351832,277.8,8.0
sim2,25,694.3884577964324,0.3978681549168609,638.8284577964324,277.8,8.0
sim2,26,274.8457539415732,0.3883052004094007,219.2857539415732,277.8,8.0
sim2,27,280.64362452583896,0.3914575644095715,225.08362452583896,277.8,8.0
sim2,29,901.951758978841,0.4104945104029769,846.391758978841,277.8,8.0
sim2,30,274.27097595713343,0.3921400976925137,218.71097595713343,277.8,8.0
sim2,32,273.1121892287292,0.3935730607446195,217.5521892287292,277.8,8.0
sim2,33,1949.9543934187604,0.3932939036280327,1894.3943934187605,277.8,8.0
sim2,34,406.6240436087939,0.3972827180829021,351.0640436087939,277.8,8.0
sim2,35,274.2993186828335,0.3775197090715372,218.73931868283347,277.8,8.0
sim2,36,325.04988239254294,0.3939022381595274,269.48988239254294,277.8,8.0
sim2,37,322.96650131311145,0.3946390689695312,267.40650131311145,277.8,8.0
sim2,38,273.5027819973667,0.3869901768046863,217.9427819973667,277.8,8.0
sim2,40,274.71246801164386,0.3916467698716054,219.15246801164383,277.8,8.0
sim2,41,281.90538701328137,0.3979149566484498,226.34538701328137,277.8,8.0
sim2,42,354.5243825216079,0.4106730583446492,298.9643825216079,277.8,8.0
sim2,44,274.11461078586814,0.3742152269072942,218.5546107858681,277.8,8.0
sim2,45,275.6381911509124,0.3872573638750385,220.0781911509124,277.8,8.0
sim2,47,281.6837442079342,0.3921792915127943,226.12374420793415,277.8,8.0
sim2,48,279.04790391295046,0.3900970513688985,223.4879039129505,277.8,8.0
sim2,50,321.6695406585943,0.4118540326296181,266.1095406585943,277.8,8.0
